PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME,CARRIER_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEST_LATITUDE,DEST_LONGITUDE
901242930,1301209121647,Grand Total Total,Grand Total Total,,,44.933143,7.540121,44.933143,7.540121
1061526,808294378,"Delta Air Lines Inc.-Atlanta, GA-New York, NY Total Total",Delta Air Lines Inc.,"Atlanta, GA","New York, NY",33.7544657,-84.3898151,40.7127281,-74.0060152
1047732,797803500,"Delta Air Lines Inc.-New York, NY-Atlanta, GA Total Total",Delta Air Lines Inc.,"New York, NY","Atlanta, GA",40.7127281,-74.0060152,33.7544657,-84.3898151
1025421,414270084,"Delta Air Lines Inc.-Orlando, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Orlando, FL","Atlanta, GA",28.5421109,-81.3790304,33.7544657,-84.3898151
1022276,412999504,"Delta Air Lines Inc.-Atlanta, GA-Orlando, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Orlando, FL",33.7544657,-84.3898151,28.5421109,-81.3790304
976248,1067279178,"American Airlines Inc.-Miami, FL-New York, NY Total Total",American Airlines Inc.,"Miami, FL","New York, NY",25.7741728,-80.19362,40.7127281,-74.0060152
966296,1193375560,"American Airlines Inc.-Dallas/Fort Worth, TX-Los Angeles, CA Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Los Angeles, CA",32.8369894,-97.033926,34.0536909,-118.242766
961273,1050907668,"American Airlines Inc.-New York, NY-Miami, FL Total Total",American Airlines Inc.,"New York, NY","Miami, FL",40.7127281,-74.0060152,25.7741728,-80.19362
950381,1173720535,"American Airlines Inc.-Los Angeles, CA-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Los Angeles, CA","Dallas/Fort Worth, TX",34.0536909,-118.242766,32.8369894,-97.033926
929682,505143067,"Delta Air Lines Inc.-Atlanta, GA-Washington, DC Total Total",Delta Air Lines Inc.,"Atlanta, GA","Washington, DC",33.7544657,-84.3898151,38.8950368,-77.0365427
929395,504959818,"Delta Air Lines Inc.-Washington, DC-Atlanta, GA Total Total",Delta Air Lines Inc.,"Washington, DC","Atlanta, GA",38.8950368,-77.0365427,33.7544657,-84.3898151
864661,86466100,"Hawaiian Airlines Inc.-Kahului, HI-Honolulu, HI Total Total",Hawaiian Airlines Inc.,"Kahului, HI","Honolulu, HI",20.8747708,-156.4529879,21.304547,-157.855676
857176,85717600,"Hawaiian Airlines Inc.-Honolulu, HI-Kahului, HI Total Total",Hawaiian Airlines Inc.,"Honolulu, HI","Kahului, HI",21.304547,-157.855676,20.8747708,-156.4529879
843113,489848653,"Delta Air Lines Inc.-Atlanta, GA-Fort Lauderdale, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Fort Lauderdale, FL",33.7544657,-84.3898151,26.1223084,-80.1433786
842994,489779514,"Delta Air Lines Inc.-Fort Lauderdale, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Fort Lauderdale, FL","Atlanta, GA",26.1223084,-80.1433786,33.7544657,-84.3898151
791897,321510182,"Delta Air Lines Inc.-Tampa, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Tampa, FL","Atlanta, GA",27.9477595,-82.458444,33.7544657,-84.3898151
785771,319023026,"Delta Air Lines Inc.-Atlanta, GA-Tampa, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Tampa, FL",33.7544657,-84.3898151,27.9477595,-82.458444
757680,556033240,"American Airlines Inc.-Chicago, IL-New York, NY Total Total",American Airlines Inc.,"Chicago, IL","New York, NY",41.8755616,-87.6244212,40.7127281,-74.0060152
746266,547630833,"American Airlines Inc.-New York, NY-Chicago, IL Total Total",American Airlines Inc.,"New York, NY","Chicago, IL",40.7127281,-74.0060152,41.8755616,-87.6244212
745966,1452395802,"Delta Air Lines Inc.-Atlanta, GA-Los Angeles, CA Total Total",Delta Air Lines Inc.,"Atlanta, GA","Los Angeles, CA",33.7544657,-84.3898151,34.0536909,-118.242766
743659,596414518,"American Airlines Inc.-Chicago, IL-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Chicago, IL","Dallas/Fort Worth, TX",41.8755616,-87.6244212,32.8369894,-97.033926
742706,1371035276,"United Air Lines Inc.-San Francisco, CA-Chicago, IL Total Total",United Air Lines Inc.,"San Francisco, CA","Chicago, IL",37.7792588,-122.4193286,41.8755616,-87.6244212
741302,1368443933,"United Air Lines Inc.-Chicago, IL-San Francisco, CA Total Total",United Air Lines Inc.,"Chicago, IL","San Francisco, CA",41.8755616,-87.6244212,37.7792588,-122.4193286
738529,443866404,"Delta Air Lines Inc.-Atlanta, GA-Chicago, IL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Chicago, IL",33.7544657,-84.3898151,41.8755616,-87.6244212
737915,591807830,"American Airlines Inc.-Dallas/Fort Worth, TX-Chicago, IL Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Chicago, IL",32.8369894,-97.033926,41.8755616,-87.6244212
735482,1431983454,"Delta Air Lines Inc.-Los Angeles, CA-Atlanta, GA Total Total",Delta Air Lines Inc.,"Los Angeles, CA","Atlanta, GA",34.0536909,-118.242766,33.7544657,-84.3898151
727694,437303604,"Delta Air Lines Inc.-Chicago, IL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Chicago, IL","Atlanta, GA",41.8755616,-87.6244212,33.7544657,-84.3898151
702640,2424990967,"British Airways Plc-London, United Kingdom-New York, NY Total Total",British Airways Plc,"London, United Kingdom","New York, NY",51.4893335,-0.1440551,40.7127281,-74.0060152
695176,965773580,"American Airlines Inc.-Dallas/Fort Worth, TX-New York, NY Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","New York, NY",32.8369894,-97.033926,40.7127281,-74.0060152
692377,961872867,"American Airlines Inc.-New York, NY-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"New York, NY","Dallas/Fort Worth, TX",40.7127281,-74.0060152,32.8369894,-97.033926
692185,2388972015,"British Airways Plc-New York, NY-London, United Kingdom Total Total",British Airways Plc,"New York, NY","London, United Kingdom",40.7127281,-74.0060152,51.4893335,-0.1440551
685635,992799480,"Alaska Airlines Inc.-Anchorage, AK-Seattle, WA Total Total",Alaska Airlines Inc.,"Anchorage, AK","Seattle, WA",61.2163129,-149.894852,47.6038321,-122.330062
676200,979137600,"Alaska Airlines Inc.-Seattle, WA-Anchorage, AK Total Total",Alaska Airlines Inc.,"Seattle, WA","Anchorage, AK",47.6038321,-122.330062,61.2163129,-149.894852
674666,109970558,"Hawaiian Airlines Inc.-Kona, HI-Honolulu, HI Total Total",Hawaiian Airlines Inc.,"Kona, HI","Honolulu, HI",19.6472213,-155.9966428,21.304547,-157.855676
670302,109259226,"Hawaiian Airlines Inc.-Honolulu, HI-Kona, HI Total Total",Hawaiian Airlines Inc.,"Honolulu, HI","Kona, HI",21.304547,-157.855676,19.6472213,-155.9966428
666659,635993426,"Alaska Airlines Inc.-Seattle, WA-Los Angeles, CA Total Total",Alaska Airlines Inc.,"Seattle, WA","Los Angeles, CA",47.6038321,-122.330062,34.0536909,-118.242766
664464,633899301,"Alaska Airlines Inc.-Los Angeles, CA-Seattle, WA Total Total",Alaska Airlines Inc.,"Los Angeles, CA","Seattle, WA",34.0536909,-118.242766,47.6038321,-122.330062
660492,910818468,"United Air Lines Inc.-Houston, TX-Los Angeles, CA Total Total",United Air Lines Inc.,"Houston, TX","Los Angeles, CA",29.7589382,-95.3676974,34.0536909,-118.242766
656438,177238260,"Delta Air Lines Inc.-Jacksonville, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Jacksonville, FL","Atlanta, GA",30.3321838,-81.655651,33.7544657,-84.3898151
656135,1682986275,"United Air Lines Inc.-San Francisco, CA-Newark, NJ Total Total",United Air Lines Inc.,"San Francisco, CA","Newark, NJ",37.7792588,-122.4193286,40.735657,-74.1723667
649324,614274812,"JetBlue Airways-New York, NY-Orlando, FL Total Total",JetBlue Airways,"New York, NY","Orlando, FL",40.7127281,-74.0060152,28.5421109,-81.3790304
646644,174593880,"Delta Air Lines Inc.-Atlanta, GA-Jacksonville, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Jacksonville, FL",33.7544657,-84.3898151,30.3321838,-81.655651
643962,609191070,"JetBlue Airways-Orlando, FL-New York, NY Total Total",JetBlue Airways,"Orlando, FL","New York, NY",28.5421109,-81.3790304,40.7127281,-74.0060152
642859,1648933335,"United Air Lines Inc.-Newark, NJ-San Francisco, CA Total Total",United Air Lines Inc.,"Newark, NJ","San Francisco, CA",40.735657,-74.1723667,37.7792588,-122.4193286
636622,682290266,"JetBlue Airways-Fort Lauderdale, FL-New York, NY Total Total",JetBlue Airways,"Fort Lauderdale, FL","New York, NY",26.1223084,-80.1433786,40.7127281,-74.0060152
635303,680880304,"JetBlue Airways-New York, NY-Fort Lauderdale, FL Total Total",JetBlue Airways,"New York, NY","Fort Lauderdale, FL",40.7127281,-74.0060152,26.1223084,-80.1433786
633505,64617510,"Hawaiian Airlines Inc.-Honolulu, HI-Lihue, HI Total Total",Hawaiian Airlines Inc.,"Honolulu, HI","Lihue, HI",21.304547,-157.855676,21.971865,-159.3526015
633476,64614552,"Hawaiian Airlines Inc.-Lihue, HI-Honolulu, HI Total Total",Hawaiian Airlines Inc.,"Lihue, HI","Honolulu, HI",21.971865,-159.3526015,21.304547,-157.855676
633236,751637672,"American Airlines Inc.-Washington, DC-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Washington, DC","Dallas/Fort Worth, TX",38.8950368,-77.0365427,32.8369894,-97.033926
631650,749769500,"American Airlines Inc.-Dallas/Fort Worth, TX-Washington, DC Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Washington, DC",32.8369894,-97.033926,38.8950368,-77.0365427
630334,869230586,"United Air Lines Inc.-Los Angeles, CA-Houston, TX Total Total",United Air Lines Inc.,"Los Angeles, CA","Houston, TX",34.0536909,-118.242766,29.7589382,-95.3676974
619004,147941956,"Southwest Airlines Co.-Houston, TX-Dallas, TX Total Total",Southwest Airlines Co.,"Houston, TX","Dallas, TX",29.7589382,-95.3676974,32.7762719,-96.7968559
617151,691826271,"American Airlines Inc.-Miami, FL-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Miami, FL","Dallas/Fort Worth, TX",25.7741728,-80.19362,32.8369894,-97.033926
615763,147167357,"Southwest Airlines Co.-Dallas, TX-Houston, TX Total Total",Southwest Airlines Co.,"Dallas, TX","Houston, TX",32.7762719,-96.7968559,29.7589382,-95.3676974
612956,687123676,"American Airlines Inc.-Dallas/Fort Worth, TX-Miami, FL Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Miami, FL",32.8369894,-97.033926,25.7741728,-80.19362
610251,362489094,"Delta Air Lines Inc.-Atlanta, GA-Miami, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Miami, FL",33.7544657,-84.3898151,25.7741728,-80.19362
610108,553367956,"Delta Air Lines Inc.-Minneapolis, MN-Atlanta, GA Total Total",Delta Air Lines Inc.,"Minneapolis, MN","Atlanta, GA",44.9772995,-93.2654692,33.7544657,-84.3898151
609267,552605169,"Delta Air Lines Inc.-Atlanta, GA-Minneapolis, MN Total Total",Delta Air Lines Inc.,"Atlanta, GA","Minneapolis, MN",33.7544657,-84.3898151,44.9772995,-93.2654692
604902,359311788,"Delta Air Lines Inc.-Miami, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Miami, FL","Atlanta, GA",25.7741728,-80.19362,33.7544657,-84.3898151
604841,1054842704,"United Air Lines Inc.-Los Angeles, CA-Chicago, IL Total Total",United Air Lines Inc.,"Los Angeles, CA","Chicago, IL",34.0536909,-118.242766,41.8755616,-87.6244212
600470,114089300,"American Airlines Inc.-Austin, TX-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Austin, TX","Dallas/Fort Worth, TX",30.2711286,-97.7436995,32.8369894,-97.033926
592306,112538140,"American Airlines Inc.-Dallas/Fort Worth, TX-Austin, TX Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Austin, TX",32.8369894,-97.033926,30.2711286,-97.7436995
585894,208578264,"Delta Air Lines Inc.-Raleigh/Durham, NC-Atlanta, GA Total Total",Delta Air Lines Inc.,"Raleigh/Durham, NC","Atlanta, GA",35.8803614,-78.7872382,33.7544657,-84.3898151
584749,248518325,"Delta Air Lines Inc.-New Orleans, LA-Atlanta, GA Total Total",Delta Air Lines Inc.,"New Orleans, LA","Atlanta, GA",29.9559145,-90.0730259,33.7544657,-84.3898151
584228,1433695512,"United Air Lines Inc.-Los Angeles, CA-Newark, NJ Total Total",United Air Lines Inc.,"Los Angeles, CA","Newark, NJ",34.0536909,-118.242766,40.735657,-74.1723667
580806,549442476,"Delta Air Lines Inc.-Atlanta, GA-Boston, MA Total Total",Delta Air Lines Inc.,"Atlanta, GA","Boston, MA",33.7544657,-84.3898151,42.3554334,-71.060511
578646,245924550,"Delta Air Lines Inc.-Atlanta, GA-New Orleans, LA Total Total",Delta Air Lines Inc.,"Atlanta, GA","New Orleans, LA",33.7544657,-84.3898151,29.9559145,-90.0730259
575949,313892205,"Delta Air Lines Inc.-West Palm Beach/Palm Beach, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"West Palm Beach/Palm Beach, FL","Atlanta, GA",26.715364,-80.0532942,33.7544657,-84.3898151
575027,543975542,"Delta Air Lines Inc.-Boston, MA-Atlanta, GA Total Total",Delta Air Lines Inc.,"Boston, MA","Atlanta, GA",42.3554334,-71.060511,33.7544657,-84.3898151
574815,204634140,"Delta Air Lines Inc.-Atlanta, GA-Raleigh/Durham, NC Total Total",Delta Air Lines Inc.,"Atlanta, GA","Raleigh/Durham, NC",33.7544657,-84.3898151,35.8803614,-78.7872382
571833,311648985,"Delta Air Lines Inc.-Atlanta, GA-West Palm Beach/Palm Beach, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","West Palm Beach/Palm Beach, FL",33.7544657,-84.3898151,26.715364,-80.0532942
571324,339366456,"Delta Air Lines Inc.-Atlanta, GA-Detroit, MI Total Total",Delta Air Lines Inc.,"Atlanta, GA","Detroit, MI",33.7544657,-84.3898151,42.3315509,-83.0466403
563662,1383226548,"United Air Lines Inc.-Newark, NJ-Los Angeles, CA Total Total",United Air Lines Inc.,"Newark, NJ","Los Angeles, CA",40.735657,-74.1723667,34.0536909,-118.242766
561415,138669505,"American Airlines Inc.-Dallas/Fort Worth, TX-San Antonio, TX Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","San Antonio, TX",32.8369894,-97.033926,29.4246002,-98.4951405
561059,333269046,"Delta Air Lines Inc.-Detroit, MI-Atlanta, GA Total Total",Delta Air Lines Inc.,"Detroit, MI","Atlanta, GA",42.3315509,-83.0466403,33.7544657,-84.3898151
556997,137578259,"American Airlines Inc.-San Antonio, TX-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"San Antonio, TX","Dallas/Fort Worth, TX",29.4246002,-98.4951405,32.8369894,-97.033926
553937,966066128,"United Air Lines Inc.-Chicago, IL-Los Angeles, CA Total Total",United Air Lines Inc.,"Chicago, IL","Los Angeles, CA",41.8755616,-87.6244212,34.0536909,-118.242766
548875,579063125,"American Airlines Inc.-Dallas/Fort Worth, TX-Las Vegas, NV Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Las Vegas, NV",32.8369894,-97.033926,36.1674263,-115.1484131
546855,471389010,"United Air Lines Inc.-Houston, TX-Denver, CO Total Total",United Air Lines Inc.,"Houston, TX","Denver, CO",29.7589382,-95.3676974,39.7392364,-104.984862
546302,470912324,"United Air Lines Inc.-Denver, CO-Houston, TX Total Total",United Air Lines Inc.,"Denver, CO","Houston, TX",39.7392364,-104.984862,29.7589382,-95.3676974
540477,570203235,"American Airlines Inc.-Las Vegas, NV-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Las Vegas, NV","Dallas/Fort Worth, TX",36.1674263,-115.1484131,32.8369894,-97.033926
540373,791106072,"American Airlines Inc.-Dallas/Fort Worth, TX-San Francisco, CA Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","San Francisco, CA",32.8369894,-97.033926,37.7792588,-122.4193286
539973,359622018,"Delta Air Lines Inc.-Atlanta, GA-Philadelphia, PA Total Total",Delta Air Lines Inc.,"Atlanta, GA","Philadelphia, PA",33.7544657,-84.3898151,39.9527237,-75.1635262
539311,394236341,"Delta Air Lines Inc.-Atlanta, GA-Dallas/Fort Worth, TX Total Total",Delta Air Lines Inc.,"Atlanta, GA","Dallas/Fort Worth, TX",33.7544657,-84.3898151,32.8369894,-97.033926
538636,116345376,"Hawaiian Airlines Inc.-Honolulu, HI-Hilo, HI Total Total",Hawaiian Airlines Inc.,"Honolulu, HI","Hilo, HI",21.304547,-157.855676,19.6854458,-155.1003754
534917,491764743,"American Airlines Inc.-Miami, FL-Washington, DC Total Total",American Airlines Inc.,"Miami, FL","Washington, DC",25.7741728,-80.19362,38.8950368,-77.0365427
529018,864944430,"United Air Lines Inc.-Houston, TX-San Francisco, CA Total Total",United Air Lines Inc.,"Houston, TX","San Francisco, CA",29.7589382,-95.3676974,37.7792588,-122.4193286
528377,351899082,"Delta Air Lines Inc.-Philadelphia, PA-Atlanta, GA Total Total",Delta Air Lines Inc.,"Philadelphia, PA","Atlanta, GA",39.9527237,-75.1635262,33.7544657,-84.3898151
527165,119139290,"Delta Air Lines Inc.-Charlotte, NC-Atlanta, GA Total Total",Delta Air Lines Inc.,"Charlotte, NC","Atlanta, GA",35.2272086,-80.8430827,33.7544657,-84.3898151
525796,483383600,"American Airlines Inc.-Washington, DC-Miami, FL Total Total",American Airlines Inc.,"Washington, DC","Miami, FL",38.8950368,-77.0365427,25.7741728,-80.19362
523623,766584072,"American Airlines Inc.-San Francisco, CA-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"San Francisco, CA","Dallas/Fort Worth, TX",37.7792588,-122.4193286,32.8369894,-97.033926
523281,484034485,"United Air Lines Inc.-Chicago, IL-Houston, TX Total Total",United Air Lines Inc.,"Chicago, IL","Houston, TX",41.8755616,-87.6244212,29.7589382,-95.3676974
523026,483799050,"United Air Lines Inc.-Houston, TX-Chicago, IL Total Total",United Air Lines Inc.,"Houston, TX","Chicago, IL",29.7589382,-95.3676974,41.8755616,-87.6244212
521332,117821032,"Delta Air Lines Inc.-Atlanta, GA-Charlotte, NC Total Total",Delta Air Lines Inc.,"Atlanta, GA","Charlotte, NC",33.7544657,-84.3898151,35.2272086,-80.8430827
521001,112536216,"Hawaiian Airlines Inc.-Hilo, HI-Honolulu, HI Total Total",Hawaiian Airlines Inc.,"Hilo, HI","Honolulu, HI",19.6854458,-155.1003754,21.304547,-157.855676
519946,380080526,"Delta Air Lines Inc.-Dallas/Fort Worth, TX-Atlanta, GA Total Total",Delta Air Lines Inc.,"Dallas/Fort Worth, TX","Atlanta, GA",32.8369894,-97.033926,33.7544657,-84.3898151
518609,66900561,"Horizon Air-Seattle, WA-Portland, OR Total Total",Horizon Air,"Seattle, WA","Portland, OR",47.6038321,-122.330062,45.5202471,-122.674194
516984,845268840,"United Air Lines Inc.-San Francisco, CA-Houston, TX Total Total",United Air Lines Inc.,"San Francisco, CA","Houston, TX",37.7792588,-122.4193286,29.7589382,-95.3676974
513731,376564282,"United Air Lines Inc.-New York, NY-Chicago, IL Total Total",United Air Lines Inc.,"New York, NY","Chicago, IL",40.7127281,-74.0060152,41.8755616,-87.6244212
511819,66024651,"Horizon Air-Portland, OR-Seattle, WA Total Total",Horizon Air,"Portland, OR","Seattle, WA",45.5202471,-122.674194,47.6038321,-122.330062
510708,611317476,"American Airlines Inc.-Miami, FL-Chicago, IL Total Total",American Airlines Inc.,"Miami, FL","Chicago, IL",25.7741728,-80.19362,41.8755616,-87.6244212
509878,294199606,"Delta Air Lines Inc.-Atlanta, GA-Baltimore, MD Total Total",Delta Air Lines Inc.,"Atlanta, GA","Baltimore, MD",33.7544657,-84.3898151,39.2908816,-76.610759
509859,294188643,"Delta Air Lines Inc.-Baltimore, MD-Atlanta, GA Total Total",Delta Air Lines Inc.,"Baltimore, MD","Atlanta, GA",39.2908816,-76.610759,33.7544657,-84.3898151
508413,500786805,"American Airlines Inc.-Dallas/Fort Worth, TX-Orlando, FL Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Orlando, FL",32.8369894,-97.033926,28.5421109,-81.3790304
508178,372495377,"United Air Lines Inc.-Chicago, IL-New York, NY Total Total",United Air Lines Inc.,"Chicago, IL","New York, NY",41.8755616,-87.6244212,40.7127281,-74.0060152
507176,450372288,"United Air Lines Inc.-Chicago, IL-Denver, CO Total Total",United Air Lines Inc.,"Chicago, IL","Denver, CO",41.8755616,-87.6244212,39.7392364,-104.984862
506420,449700960,"United Air Lines Inc.-Denver, CO-Chicago, IL Total Total",United Air Lines Inc.,"Denver, CO","Chicago, IL",39.7392364,-104.984862,41.8755616,-87.6244212
505059,497483115,"American Airlines Inc.-Orlando, FL-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Orlando, FL","Dallas/Fort Worth, TX",28.5421109,-81.3790304,32.8369894,-97.033926
502135,1215835495,"United Air Lines Inc.-San Francisco, CA-Washington, DC Total Total",United Air Lines Inc.,"San Francisco, CA","Washington, DC",37.7792588,-122.4193286,38.8950368,-77.0365427
501987,1215428263,"United Air Lines Inc.-Washington, DC-San Francisco, CA Total Total",United Air Lines Inc.,"Washington, DC","San Francisco, CA",38.8950368,-77.0365427,37.7792588,-122.4193286
501976,702766400,"United Air Lines Inc.-Newark, NJ-Houston, TX Total Total",United Air Lines Inc.,"Newark, NJ","Houston, TX",40.735657,-74.1723667,29.7589382,-95.3676974
501474,797343660,"Delta Air Lines Inc.-Atlanta, GA-Salt Lake City, UT Total Total",Delta Air Lines Inc.,"Atlanta, GA","Salt Lake City, UT",33.7544657,-84.3898151,40.7596198,-111.886797
499975,483475825,"United Air Lines Inc.-Denver, CO-San Francisco, CA Total Total",United Air Lines Inc.,"Denver, CO","San Francisco, CA",39.7392364,-104.984862,37.7792588,-122.4193286
499904,794847360,"Delta Air Lines Inc.-Salt Lake City, UT-Atlanta, GA Total Total",Delta Air Lines Inc.,"Salt Lake City, UT","Atlanta, GA",40.7596198,-111.886797,33.7544657,-84.3898151
498339,596511783,"American Airlines Inc.-Chicago, IL-Miami, FL Total Total",American Airlines Inc.,"Chicago, IL","Miami, FL",41.8755616,-87.6244212,25.7741728,-80.19362
497163,167543931,"United Air Lines Inc.-San Francisco, CA-Los Angeles, CA Total Total",United Air Lines Inc.,"San Francisco, CA","Los Angeles, CA",37.7792588,-122.4193286,34.0536909,-118.242766
495550,167000350,"United Air Lines Inc.-Los Angeles, CA-San Francisco, CA Total Total",United Air Lines Inc.,"Los Angeles, CA","San Francisco, CA",34.0536909,-118.242766,37.7792588,-122.4193286
494484,468520824,"Delta Air Lines Inc.-New York, NY-Orlando, FL Total Total",Delta Air Lines Inc.,"New York, NY","Orlando, FL",40.7127281,-74.0060152,28.5421109,-81.3790304
491966,427026488,"American Airlines Inc.-Dallas/Fort Worth, TX-Phoenix, AZ Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Phoenix, AZ",32.8369894,-97.033926,33.4484367,-112.074141
489499,855154753,"Delta Air Lines Inc.-Las Vegas, NV-Atlanta, GA Total Total",Delta Air Lines Inc.,"Las Vegas, NV","Atlanta, GA",36.1674263,-115.1484131,33.7544657,-84.3898151
488389,1143807038,"American Airlines Inc.-Los Angeles, CA-Miami, FL Total Total",American Airlines Inc.,"Los Angeles, CA","Miami, FL",34.0536909,-118.242766,25.7741728,-80.19362
487190,682066000,"United Air Lines Inc.-Houston, TX-Newark, NJ Total Total",United Air Lines Inc.,"Houston, TX","Newark, NJ",29.7589382,-95.3676974,40.735657,-74.1723667
487075,1205510625,"Delta Air Lines Inc.-Los Angeles, CA-New York, NY Total Total",Delta Air Lines Inc.,"Los Angeles, CA","New York, NY",34.0536909,-118.242766,40.7127281,-74.0060152
486948,1770055980,"Compagnie Natl Air France-New York, NY-Paris, France Total Total",Compagnie Natl Air France,"New York, NY","Paris, France",40.7127281,-74.0060152,48.8534951,2.3483915
486409,250500635,"Delta Air Lines Inc.-Fort Myers, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Fort Myers, FL","Atlanta, GA",26.640628,-81.8723084,33.7544657,-84.3898151
485810,848710070,"Delta Air Lines Inc.-Atlanta, GA-Las Vegas, NV Total Total",Delta Air Lines Inc.,"Atlanta, GA","Las Vegas, NV",33.7544657,-84.3898151,36.1674263,-115.1484131
485741,250156615,"Delta Air Lines Inc.-Atlanta, GA-Fort Myers, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Fort Myers, FL",33.7544657,-84.3898151,26.640628,-81.8723084
485161,568123531,"American Airlines Inc.-Dallas/Fort Worth, TX-San Diego, CA Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","San Diego, CA",32.8369894,-97.033926,32.7174202,-117.162772
484687,454151719,"United Air Lines Inc.-Newark, NJ-Orlando, FL Total Total",United Air Lines Inc.,"Newark, NJ","Orlando, FL",40.735657,-74.1723667,28.5421109,-81.3790304
484388,420448784,"American Airlines Inc.-Phoenix, AZ-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Phoenix, AZ","Dallas/Fort Worth, TX",33.4484367,-112.074141,32.8369894,-97.033926
478531,330992751,"Delta Air Lines Inc.-Atlanta, GA-Houston, TX Total Total",Delta Air Lines Inc.,"Atlanta, GA","Houston, TX",33.7544657,-84.3898151,29.7589382,-95.3676974
477726,559417146,"American Airlines Inc.-San Diego, CA-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"San Diego, CA","Dallas/Fort Worth, TX",32.7174202,-117.162772,32.8369894,-97.033926
476768,831483392,"American Airlines Inc.-Chicago, IL-Los Angeles, CA Total Total",American Airlines Inc.,"Chicago, IL","Los Angeles, CA",41.8755616,-87.6244212,34.0536909,-118.242766
474376,91080192,"American Airlines Inc.-Orlando, FL-Miami, FL Total Total",American Airlines Inc.,"Orlando, FL","Miami, FL",28.5421109,-81.3790304,25.7741728,-80.19362
474259,449363486,"Delta Air Lines Inc.-Orlando, FL-New York, NY Total Total",Delta Air Lines Inc.,"Orlando, FL","New York, NY",28.5421109,-81.3790304,40.7127281,-74.0060152
473892,1172882700,"Delta Air Lines Inc.-New York, NY-Los Angeles, CA Total Total",Delta Air Lines Inc.,"New York, NY","Los Angeles, CA",40.7127281,-74.0060152,34.0536909,-118.242766
473438,1108791796,"American Airlines Inc.-Miami, FL-Los Angeles, CA Total Total",American Airlines Inc.,"Miami, FL","Los Angeles, CA",25.7741728,-80.19362,34.0536909,-118.242766
473156,825184064,"American Airlines Inc.-Los Angeles, CA-Chicago, IL Total Total",American Airlines Inc.,"Los Angeles, CA","Chicago, IL",34.0536909,-118.242766,41.8755616,-87.6244212
472873,90791616,"American Airlines Inc.-Miami, FL-Orlando, FL Total Total",American Airlines Inc.,"Miami, FL","Orlando, FL",25.7741728,-80.19362,28.5421109,-81.3790304
472409,1717206715,"Compagnie Natl Air France-Paris, France-New York, NY Total Total",Compagnie Natl Air France,"Paris, France","New York, NY",48.8534951,2.3483915,40.7127281,-74.0060152
469733,301098853,"American Airlines Inc.-Dallas/Fort Worth, TX-Denver, CO Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Denver, CO",32.8369894,-97.033926,39.7392364,-104.984862
466707,299159187,"American Airlines Inc.-Denver, CO-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Denver, CO","Dallas/Fort Worth, TX",39.7392364,-104.984862,32.8369894,-97.033926
